contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA $25 Double Up,13750,Classic,154290594,25,5,4000,Wed 7:00PM,10,183,95941
NBA Single Entry $10 Double Up,5500,Classic,154290599,10,1,4000,Wed 7:00PM,12,459,95941
NBA $30K Hall of Famer [$15K to 1st],1166000,Classic,154306129,2120,1,30000,Wed 7:00PM,0,15,95941
NBA $5M Fantasy Basketball World Championship Qualifier #8,165000,Classic,154306137,0,6,51000,Wed 7:00PM,6,200,95941
NBA Tiers $8K Zone [$2K to 1st] (Night),2750,Tiers,154290699,5,57,8000,Wed 10:00PM,13,1902,95950
NBA Tiers $2K And-One (Night),550,Tiers,154290692,1,20,2000,Wed 10:00PM,54,2378,95950
NBA Tiers $750 Ankle Breaker [Single Entry] (Night),27500,Tiers,154290693,50,1,750,Wed 10:00PM,1,17,95950
NBA Tiers $750 Quarter Jukebox [Just $0.25!]  (Night),138,Tiers,154290695,0,20,750,Wed 10:00PM,74,3567,95950
"NBA Tiers $720 Showtime [Single Entry, Top 2 Win] (Night)",55000,Tiers,154290696,100,1,720,Wed 10:00PM,1,8,95950
"NBA Satellite to $4,444 NFL Fantasy Football MEGA Millionaire",246400,Classic,154303305,448,1,4444,Wed 7:00PM,0,11,95941
"NBA Satellite to $3,545 FBWC MEGAQual",206250,Classic,154303311,375,1,3545,Wed 7:00PM,0,11,95941
NBA $30K Excellent 8's [$10K to 1st],4400,Classic,154306133,8,132,30000,Wed 7:00PM,411,4411,95941
NBA $26K Jab Step [$5K to 1st],3300,Classic,154306134,6,150,26000,Wed 7:00PM,312,5098,95941
NBA $40K And-One [20 Entry Max],550,Classic,154306127,1,20,40000,Wed 7:00PM,505,47562,95941
NBA $25K Zone [$5K to 1st],2750,Classic,154306126,5,150,25000,Wed 7:00PM,318,5945,95941
NBA $75K Heavy Hitter [Must Fill],14410000,Classic,154302856,26200,1,75000,Wed 7:00PM,0,3,95941
NBA $15K High Five [Single Entry],2750,Classic,154290615,5,1,15000,Wed 7:00PM,50,3567,95941
NBA $10K High Five [Single Entry],2750,Classic,154290590,5,1,10000,Wed 7:00PM,29,2378,95941
NBA $30K Thunderdome [Must Fill],2915000,Classic,154306128,5300,1,30000,Wed 7:00PM,0,6,95941
NBA $15K All-Star [$8K to 1st],583000,Classic,154306135,1060,1,15000,Wed 7:00PM,0,15,95941
NBA $10K Hot Shot [3 Entry Max],1650,Classic,154290604,3,3,10000,Wed 7:00PM,53,3963,95941
NBA $10K mini-MAX [150 Entry Max],1100,Classic,154290605,2,150,10000,Wed 7:00PM,161,5945,95941
NBA $10K Pick and Pop [3 Entry Max],41250,Classic,154290602,75,3,10000,Wed 7:00PM,4,151,95941
NBA $10K Money Ball [Single Entry],183150,Classic,154290609,333,1,10000,Wed 7:00PM,3,33,95941
NBA $8K Buzzer Beater [3 Entry Max],11000,Classic,154290603,20,3,8000,Wed 7:00PM,10,470,95941
NBA $8K Fast Break [Single Entry],14850,Classic,154290598,27,1,8000,Wed 7:00PM,6,345,95941
NBA $10K Quarter Jukebox [Just $0.25!],138,Classic,154290606,0,20,10000,Wed 7:00PM,720,47562,95941
NBA $8K Swish [Single Entry],220000,Classic,154290608,400,1,8000,Wed 7:00PM,3,22,95941
NBA $7.5K mini-MAX [150 Entry Max],275,Classic,154290607,0,150,7500,Wed 7:00PM,230,17835,95941
NBA $4K Elbow Shot [Single Entry],1100,Classic,154290616,2,1,4000,Wed 7:00PM,35,2378,95941
