draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash,draftAlerts.alertType,draftAlerts.message,draftAlerts.updatedDate,draftAlerts.priority
57068,19600099,Jeff,Teague,Jeff Teague,J. Teague,398043,33188,PG,458,3100,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33188.png,https://dkn.gs/sports/images/nba/players/160/33188.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,11.6,11.6,-2,3rd,3,Low,,,15,MIL,398043-5770380,,,,
57068,19600041,DeAndre,Jordan,DeAndre Jordan,D. Jordan,398142,32899,C,462,3800,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32899.png,https://dkn.gs/sports/images/nba/players/160/32899.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,219,21.6,21.6,-2,15th,15,Medium,,,13,LAL,398142-5770386,,,,
57068,19599980,Blake,Griffin,Blake Griffin,B. Griffin,399725,33032,PF/C,461,5400,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33032.png,https://dkn.gs/sports/images/nba/players/160/33032.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,23.5,23.5,-2,2nd,2,Low,,,17,BKN,399725-5770380,,,,
57068,19600067,Kent,Bazemore,Kent Bazemore,K. Bazemore,410764,33323,SF,460,3600,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33323.png,https://dkn.gs/sports/images/nba/players/160/33323.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,219,17.1,17.1,-2,18th,18,Medium,,,13,LAL,410764-5770386,,,,
57068,19600048,Patty,Mills,Patty Mills,P. Mills,411562,33359,PG/SG,458,3700,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33359.png,https://dkn.gs/sports/images/nba/players/160/33359.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,18.5,18.5,-2,6th,6,Low,,,17,BKN,411562-5770380,,,,
57068,19599956,Jrue,Holiday,Jrue Holiday,J. Holiday,457576,33210,PG,458,7000,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33210.png,https://dkn.gs/sports/images/nba/players/160/33210.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,38.4,38.4,-2,3rd,3,Low,100,true,15,MIL,457576-5770380,,,,
57068,19599963,Klay,Thompson,Klay Thompson,K. Thompson,457611,33050,SG,459,6600,OUT,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33050.png,https://dkn.gs/sports/images/nba/players/160/33050.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,-2,3rd,3,219,-,"",Low,,,9,GSW,457611-5770386,,,,
57068,19599959,Draymond,Green,Draymond Green,D. Green,468895,33052,PF/C,461,6800,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33052.png,https://dkn.gs/sports/images/nba/players/160/33052.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,219,34.0,34.0,-2,3rd,3,Low,100,true,9,GSW,468895-5770386,,,,
57068,19599953,Khris,Middleton,Khris Middleton,K. Middleton,512053,33177,SF,460,7200,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33177.png,https://dkn.gs/sports/images/nba/players/160/33177.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,39.9,39.9,-2,13th,13,Medium,100,true,15,MIL,512053-5770380,,,,
57068,19600129,Avery,Bradley,Avery Bradley,A. Bradley,513607,33121,SG,459,3000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33121.png,https://dkn.gs/sports/images/nba/players/160/33121.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,219,13.5,13.5,-2,16th,16,Medium,,,13,LAL,513607-5770386,,,,
