abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to,x3pm
J. Isaac,Jonathan Isaac,SF/PF,ORL,0.0,"$4,800",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
T. Jerome,Ty Jerome,PG,CLE,0.0,"$3,800",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Lewis,Maxwell Lewis,SF,SAC,0.0,"$3,500",0,0.04,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Slawson,Jalen Slawson,SF,SAC,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Fudge,Alex Fudge,SF/PF,SAC,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
C. Castleton,Colin Castleton,C/PF,SAC,0.0,"$3,500",0,0.06,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Hodge,D'Moi Hodge,SG,SAC,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Brogdon,Malcolm Brogdon,PG/SG,CLE,0.0,"$7,600",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Garland,Darius Garland,PG,CLE,0.0,"$7,400",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
I. Okoro,Isaac Okoro,SF/SG,CLE,0.0,"$4,200",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Hood-Schifino,Jalen Hood-Schifino,SG,SAC,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
I. Wainright,Ish Wainright,SF,CLE,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
I. Mobley,Isaiah Mobley,PF,CLE,0.0,"$3,500",0,0.01,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Minaya,Justin Minaya,SF,CLE,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
S. Henderson,Scoot Henderson,PG,CLE,0.0,"$5,100",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Murray,Kris Murray,SF,CLE,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
E. Bates,Emoni Bates,SF,CLE,0.0,"$3,600",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
R. Rupert,Rayan Rupert,SG,CLE,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
C. Jones,Colby Jones,SG,SAC,0.0,"$3,600",0,0.06,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Mitchell,Davion Mitchell,PG,SAC,0.0,"$3,900",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Schofield,Admiral Schofield,SF,ORL,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
N. Little,Nassir Little,SF,MIN,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Terry,Dalen Terry,SG,ORL,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Harris,Kevon Harris,SG,ORL,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Howard,Jett Howard,SF,ORL,0.0,"$3,500",0,0.04,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Phillips,Julian Phillips,SF,ORL,0.0,"$3,500",0,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0
B. Beal,Bradley Beal,SG/PG,MIN,0.0,"$7,300",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
T. Brown,Troy Brown Jr.,SF,MIN,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
C. Metu,Chimezie Metu,C,MIN,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
B. Bol,Bol Bol,C,MIN,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
G. Vincent,Gabe Vincent,PG/SG,SAC,0.0,"$3,800",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
U. Azubuike,Udoka Azubuike,C,MIN,0.0,"$3,500",0,0.06,0.0,0,0.0,0.0,0.0,0.0,0.0
S. Lee,Saben Lee,PG,MIN,0.0,"$3,500",0,0.03,0.0,0,0.0,0.0,0.0,0.0,0.0
W. Moore Jr.,Wendell Moore Jr.,SG,MIN,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Minott,Josh Minott,SF,MIN,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
L. Miller,Leonard Miller,SF/PF,MIN,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
J. McGee,JaVale McGee,C,SAC,0.0,"$3,700",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Len,Alex Len,C,SAC,0.0,"$3,900",0,0.06,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Vanderbilt,Jarred Vanderbilt,PF,SAC,0.0,"$4,000",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Morris,Markieff Morris,PF/SF,DAL,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
