Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Alex Len (31025296),Alex Len,31025296,C/UTIL,3700,SAC@LAL 11/15/2023 10:00PM ET,SAC,8.92
PF/C,Jonathan Isaac (31025289),Jonathan Isaac,31025289,PF/C/F/UTIL,3700,ORL@CHI 11/15/2023 08:00PM ET,ORL,14.71
PG,Malachi Flynn (31025305),Malachi Flynn,31025305,PG/G/UTIL,3600,MIL@TOR 11/15/2023 07:30PM ET,TOR,12.22
SG/SF,Garrison Mathews (31025308),Garrison Mathews,31025308,SG/SF/F/G/UTIL,3600,NYK@ATL 11/15/2023 07:30PM ET,ATL,0.62
PG/SG,Payton Pritchard (31025301),Payton Pritchard,31025301,PG/SG/G/UTIL,3600,BOS@PHI 11/15/2023 07:30PM ET,BOS,14.75
SG/SF,Gradey Dick (31025319),Gradey Dick,31025319,SG/SF/F/G/UTIL,3500,MIL@TOR 11/15/2023 07:30PM ET,TOR,7.8
SG/SF,Marjon Beauchamp (31025328),Marjon Beauchamp,31025328,SG/SF/F/G/UTIL,3500,MIL@TOR 11/15/2023 07:30PM ET,MIL,12.69
SG/SF,AJ Griffin (31025341),AJ Griffin,31025341,SG/SF/F/G/UTIL,3500,NYK@ATL 11/15/2023 07:30PM ET,ATL,5.12
SG/SF,Wesley Matthews (31025346),Wesley Matthews,31025346,SG/SF/F/G/UTIL,3500,NYK@ATL 11/15/2023 07:30PM ET,ATL,10
PF/C,Maxi Kleber (31025324),Maxi Kleber,31025324,PF/C/F/UTIL,3500,DAL@WAS 11/15/2023 07:00PM ET,DAL,12.35
PF,Dean Wade (31025333),Dean Wade,31025333,PF/F/UTIL,3500,CLE@POR 11/15/2023 10:00PM ET,CLE,10.64
SF,Danuel House Jr. (31025338),Danuel House Jr.,31025338,SF/F/UTIL,3500,BOS@PHI 11/15/2023 07:30PM ET,PHI,5.69
C,Jaxson Hayes (31025317),Jaxson Hayes,31025317,C/UTIL,3500,SAC@LAL 11/15/2023 10:00PM ET,LAL,4.28
C,Trey Lyles (31025336),Trey Lyles,31025336,C/UTIL,3500,SAC@LAL 11/15/2023 10:00PM ET,SAC,0
SF/PF,Joe Ingles (31025313),Joe Ingles,31025313,SF/PF/F/UTIL,3500,ORL@CHI 11/15/2023 08:00PM ET,ORL,12.14
PG/SG,Patty Mills (31025363),Patty Mills,31025363,PG/SG/G/UTIL,3400,NYK@ATL 11/15/2023 07:30PM ET,ATL,0
C,Anthony Gill (31025351),Anthony Gill,31025351,C/UTIL,3400,DAL@WAS 11/15/2023 07:00PM ET,WAS,7.65
C,Tristan Thompson (31025353),Tristan Thompson,31025353,C/UTIL,3400,CLE@POR 11/15/2023 10:00PM ET,CLE,7.34
SG/SF,Furkan Korkmaz (31025367),Furkan Korkmaz,31025367,SG/SF/F/G/UTIL,3400,BOS@PHI 11/15/2023 07:30PM ET,PHI,5.86
PF,Oshae Brissett (31025372),Oshae Brissett,31025372,PF/F/UTIL,3400,BOS@PHI 11/15/2023 07:30PM ET,BOS,6.83
SF/PF,Sasha Vezenkov (31025359),Sasha Vezenkov,31025359,SF/PF/F/UTIL,3400,SAC@LAL 11/15/2023 10:00PM ET,SAC,11.25
PG/SG,Jevon Carter (31025355),Jevon Carter,31025355,PG/SG/G/UTIL,3400,ORL@CHI 11/15/2023 08:00PM ET,CHI,11.86
PG/SF,Trent Forrest (31025397),Trent Forrest,31025397,PG/SF/F/G/UTIL,3300,NYK@ATL 11/15/2023 07:30PM ET,ATL,1.5
PG/SG,Landry Shamet (31025384),Landry Shamet,31025384,PG/SG/G/UTIL,3300,DAL@WAS 11/15/2023 07:00PM ET,WAS,13.25
PF/C,Jabari Walker (31025375),Jabari Walker,31025375,PF/C/F/UTIL,3300,CLE@POR 11/15/2023 10:00PM ET,POR,12.94
PG/SG,Jamaree Bouyea (31025393),Jamaree Bouyea,31025393,PG/SG/G/UTIL,3300,CLE@POR 11/15/2023 10:00PM ET,POR,15
SG/SF,Max Christie (31025379),Max Christie,31025379,SG/SF/F/G/UTIL,3300,SAC@LAL 11/15/2023 10:00PM ET,LAL,9.08
SG/SF,Colby Jones (31025388),Colby Jones,31025388,SG/SF/F/G/UTIL,3300,SAC@LAL 11/15/2023 10:00PM ET,SAC,6.67
SF/PF,Jalen McDaniels (31025406),Jalen McDaniels,31025406,SF/PF/F/UTIL,3200,MIL@TOR 11/15/2023 07:30PM ET,TOR,3.38
SF/PF,Eugene Omoruyi (31025402),Eugene Omoruyi,31025402,SF/PF/F/UTIL,3200,DAL@WAS 11/15/2023 07:00PM ET,WAS,11.12
C,Duop Reath (31025416),Duop Reath,31025416,C/UTIL,3200,CLE@POR 11/15/2023 10:00PM ET,POR,22.75
PF,Yuta Watanabe (31025418),Yuta Watanabe,31025418,PF/F/UTIL,3200,MIN@PHX 11/15/2023 09:00PM ET,PHX,11.65
SG,Jaden Springer (31025410),Jaden Springer,31025410,SG/G/UTIL,3200,BOS@PHI 11/15/2023 07:30PM ET,PHI,5.58
PG,Jordan Ford (31025413),Jordan Ford,31025413,PG/G/UTIL,3200,SAC@LAL 11/15/2023 10:00PM ET,SAC,2.56
SG,Gary Harris (31025421),Gary Harris,31025421,SG/G/UTIL,3200,ORL@CHI 11/15/2023 08:00PM ET,ORL,14.55
SG/SF,Chris Duarte (31025424),Chris Duarte,31025424,SG/SF/F/G/UTIL,3100,SAC@LAL 11/15/2023 10:00PM ET,SAC,8.94
SF,Maxwell Lewis (31025429),Maxwell Lewis,31025429,SF/F/UTIL,3100,SAC@LAL 11/15/2023 10:00PM ET,LAL,0.25
C,Colin Castleton (31025432),Colin Castleton,31025432,C/UTIL,3100,SAC@LAL 11/15/2023 10:00PM ET,LAL,5.38
PF/C,Jarred Vanderbilt (31025434),Jarred Vanderbilt,31025434,PF/C/F/UTIL,3100,SAC@LAL 11/15/2023 10:00PM ET,LAL,0
PG,Lindell Wigginton (31025441),Lindell Wigginton,31025441,PG/G/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,MIL,0
SG/SF,Garrett Temple (31025554),Garrett Temple,31025554,SG/SF/F/G/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,TOR,3.08
PF/C,Thaddeus Young (31025559),Thaddeus Young,31025559,PF/C/F/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,TOR,5.5
PG,Markquis Nowell (31025563),Markquis Nowell,31025563,PG/G/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,TOR,0
PG/SG,Javon Freeman-Liberty (31025566),Javon Freeman-Liberty,31025566,PG/SG/G/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,TOR,0
SF,Ron Harper Jr. (31025570),Ron Harper Jr.,31025570,SF/F/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,TOR,0
C,Christian Koloko (31025573),Christian Koloko,31025573,C/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,TOR,0
C,Robin Lopez (31025711),Robin Lopez,31025711,C/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,MIL,3
PG,TyTy Washington Jr. (31025713),TyTy Washington Jr.,31025713,PG/G/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,MIL,3
C,Marques Bolden (31025716),Marques Bolden,31025716,C/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,MIL,0
PF/C,Thanasis Antetokounmpo (31025718),Thanasis Antetokounmpo,31025718,PF/C/F/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,MIL,3.33
