draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.isEmphasized,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.isEmphasized,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash
64322,21453537,Paul,George,Paul George,P. George,469218,33100,SG,459,9100,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33100.png,https://dkn.gs/sports/images/nba/players/160/33100.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,46.2,46.2,-2,20th,20,Medium,,,12,LAC,469218-5774451
64322,21453540,James,Nunnally,James Nunnally,J. Nunnally,478206,115612,SF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/115612.png,https://dkn.gs/sports/images/nba/players/160/115612.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,-2,3rd,3,219,-,"",Low,,,3,NOP,478206-5777619
64322,21453543,Kawhi,Leonard,Kawhi Leonard,K. Leonard,512591,33102,PF,461,9500,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33102.png,https://dkn.gs/sports/images/nba/players/160/33102.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,-2,25th,25,219,-,"",High,,,12,LAC,512591-5774451
64322,21453546,Hassan,Whiteside,Hassan Whiteside,H. Whiteside,513234,33321,C,462,5600,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33321.png,https://dkn.gs/sports/images/nba/players/160/33321.png,"","",5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,219,22.5,22.5,-2,15th,15,Medium,,,26,UTA,513234-5774727
64322,21453548,Avery,Bradley,Avery Bradley,A. Bradley,513607,33121,SG/SF,459,3300,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33121.png,https://dkn.gs/sports/images/nba/players/160/33121.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,13.4,13.4,-2,12th,12,Medium,,,13,LAL,513607-5774451
64322,21453553,CJ,McCollum,CJ McCollum,C. McCollum,522878,33324,PG/SG,458,8600,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33324.png,https://dkn.gs/sports/images/nba/players/160/33324.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,219,37.8,37.8,-2,11th,11,Medium,100,true,3,NOP,522878-5777619
64322,21453557,Robert,Covington,Robert Covington,R. Covington,525052,33190,PF/C,461,3500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33190.png,https://dkn.gs/sports/images/nba/players/160/33190.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,22.3,22.3,-2,25th,25,High,,,12,LAC,525052-5774451
64322,21453561,Tony,Snell,Tony Snell,T. Snell,550991,33036,SF/PF,460,3300,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33036.png,https://dkn.gs/sports/images/nba/players/160/33036.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,219,7.2,7.2,-2,11th,11,Medium,,,3,NOP,550991-5777619
64322,21453565,Tim,Hardaway Jr.,Tim Hardaway Jr.,T. Hardaway Jr.,551771,32995,SF,460,4200,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32995.png,https://dkn.gs/sports/images/nba/players/160/32995.png,"","",5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,219,25.1,25.1,-2,8th,8,Low,,,6,DAL,551771-5774727
64322,21453568,Jordan,Clarkson,Jordan Clarkson,J. Clarkson,551975,32983,PG/SG,458,5700,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32983.png,https://dkn.gs/sports/images/nba/players/160/32983.png,"","",5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,219,25.6,25.6,-2,1st,1,Low,,,26,UTA,551975-5774727
