draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.isEmphasized,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.isEmphasized,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,teamId,teamAbbreviation,playerGameHash
59326,20163472,Carmelo,Anthony,Carmelo Anthony,C. Anthony,172890,115439,PF,476,11100,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/115439.png,https://dkn.gs/sports/images/nba/players/160/115439.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,26.8,26.8,-2,13th,13,Medium,13,LAL,172890-5773815
59326,20163465,LeBron,James,LeBron James,L. James,214152,33114,SF/PF,476,21000,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33114.png,https://dkn.gs/sports/images/nba/players/160/33114.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,48.4,48.4,-2,19th,19,Medium,13,LAL,214152-5773815
59326,20163506,Trevor,Ariza,Trevor Ariza,T. Ariza,229738,33334,PF,476,1500,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33334.png,https://dkn.gs/sports/images/nba/players/160/33334.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,-2,13th,13,219,-,"",Medium,13,LAL,229738-5773815
59326,20163478,Dwight,Howard,Dwight Howard,D. Howard,253975,33115,C,476,5100,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33115.png,https://dkn.gs/sports/images/nba/players/160/33115.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,14.1,14.1,-2,6th,6,Low,13,LAL,253975-5773815
59326,20163476,Rajon,Rondo,Rajon Rondo,R. Rondo,262882,33116,PG,476,5700,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33116.png,https://dkn.gs/sports/images/nba/players/160/33116.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,16.1,16.1,-2,4th,4,Low,13,LAL,262882-5773815
59326,20163489,Wayne,Ellington,Wayne Ellington,W. Ellington,329670,33230,SG/SF,476,1500,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33230.png,https://dkn.gs/sports/images/nba/players/160/33230.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,13.4,13.4,-2,19th,19,Medium,13,LAL,329670-5773815
59326,20163464,Russell,Westbrook,Russell Westbrook,R. Westbrook,329830,33068,PG,476,21300,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33068.png,https://dkn.gs/sports/images/nba/players/160/33068.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,45.2,45.2,-2,4th,4,Low,13,LAL,329830-5773815
59326,20163495,DeAndre,Jordan,DeAndre Jordan,D. Jordan,398142,32899,C,476,1500,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32899.png,https://dkn.gs/sports/images/nba/players/160/32899.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,15.4,15.4,-2,6th,6,Low,13,LAL,398142-5773815
59326,20163481,Kent,Bazemore,Kent Bazemore,K. Bazemore,410764,33323,SF,476,4200,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33323.png,https://dkn.gs/sports/images/nba/players/160/33323.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,12.4,12.4,-2,19th,19,Medium,13,LAL,410764-5773815
59326,20163468,DeMar,DeRozan,DeMar DeRozan,D. DeRozan,457594,33357,PF,476,16800,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33357.png,https://dkn.gs/sports/images/nba/players/160/33357.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,41.2,41.2,-2,21st,21,Medium,4,CHI,457594-5773815
