draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.isEmphasized,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.isEmphasized,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash,draftAlerts.alertType,draftAlerts.message,draftAlerts.updatedDate,draftAlerts.priority,missingCompetitionText
63631,21291773,Nemanja,Bjelica,Nemanja Bjelica,N. Bjelica,550431,33335,PF/C,461,3000,OUT,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33335.png,https://dkn.gs/sports/images/nba/players/160/33335.png,"","",5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,219,16.1,16.1,-2,4th,4,Low,,,9,GSW,550431-5773137,,,,,
63631,21291633,Tony,Snell,Tony Snell,T. Snell,550991,33036,PF,461,3100,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33036.png,https://dkn.gs/sports/images/nba/players/160/33036.png,"","",5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,219,6.7,6.7,-2,10th,10,Medium,,,3,NOP,550991-5776635,,,,,
63631,21292185,Langston,Galloway,Langston Galloway,L. Galloway,551321,33038,SG,459,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33038.png,https://dkn.gs/sports/images/nba/players/160/33038.png,"","",5777595,MIL @ PHX,MIL,TRUE, @ ,PHX,2022-02-11T03:00:00.0000000Z,5777595,MIL @ PHX,MIL,TRUE, @ ,PHX,2022-02-11T03:00:00.0000000Z,219,7.8,7.8,-2,15th,15,Medium,,,15,MIL,551321-5777595,,,,,
63631,21291106,Kyrie,Irving,Kyrie Irving,K. Irving,551768,32901,PG/SG,458,10400,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/32901.png,https://dkn.gs/sports/images/nba/players/160/32901.png,"","",5773365,BKN @ WAS,BKN,TRUE, @ ,WAS,2022-02-11T00:30:00.0000000Z,5773365,BKN @ WAS,BKN,TRUE, @ ,WAS,2022-02-11T00:30:00.0000000Z,219,40.6,40.6,-2,14th,14,Medium,,,17,BKN,551768-5773365,,,,,
63631,21291397,Tim,Hardaway Jr.,Tim Hardaway Jr.,T. Hardaway Jr.,551771,32995,SF,460,4300,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32995.png,https://dkn.gs/sports/images/nba/players/160/32995.png,"","",5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,219,25.1,25.1,-2,15th,15,Medium,,,6,DAL,551771-5772753,,,,,
63631,21291376,Dwight,Powell,Dwight Powell,D. Powell,552309,32997,C,462,4400,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32997.png,https://dkn.gs/sports/images/nba/players/160/32997.png,"","",5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,219,16.0,16.0,-2,22nd,22,High,,,6,DAL,552309-5772753,,,,,
63631,21291289,Reggie,Bullock,Reggie Bullock,R. Bullock,552335,33233,SG/SF,459,5200,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33233.png,https://dkn.gs/sports/images/nba/players/160/33233.png,"","",5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,219,15.8,15.8,-2,15th,15,Medium,,,6,DAL,552335-5772753,,,,,
63631,21291385,Jae,Crowder,Jae Crowder,J. Crowder,552381,33134,PF,461,4400,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33134.png,https://dkn.gs/sports/images/nba/players/160/33134.png,"","",5777595,MIL @ PHX,MIL,TRUE, @ ,PHX,2022-02-11T03:00:00.0000000Z,5777595,MIL @ PHX,MIL,TRUE, @ ,PHX,2022-02-11T03:00:00.0000000Z,219,21.6,21.6,-2,20th,20,Medium,,,21,PHX,552381-5777595,,,,,
63631,21291382,Cory,Joseph,Cory Joseph,C. Joseph,552805,33336,PG,458,4400,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33336.png,https://dkn.gs/sports/images/nba/players/160/33336.png,"","",5772459,MEM @ DET,MEM,TRUE, @ ,DET,2022-02-11T00:00:00.0000000Z,5772459,MEM @ DET,MEM,TRUE, @ ,DET,2022-02-11T00:00:00.0000000Z,219,18.8,18.8,-2,21st,21,Medium,,,8,DET,552805-5772459,,,,,
63631,21291355,Victor,Oladipo,Victor Oladipo,V. Oladipo,553166,33086,PG,458,4700,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33086.png,https://dkn.gs/sports/images/nba/players/160/33086.png,"","",5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,-2,17th,17,219,-,"",Medium,,,14,MIA,553166-5776635,,,,,
